obs_p,obs_q,obs_teta,obs_DateTime
0.0,1.0,,
0.0,0.969,,
0.0001,0.954,,
0.0,0.954,,
0.0001,0.969,,
0.0,0.985,,
0.0,1.0,,
0.0,1.0,,
0.0,1.016,,
0.0,1.031,,
0.0,1.031,,
0.0,1.031,,
0.0,1.031,,
0.0,1.047,,
0.0,1.047,,
0.0,1.047,,
0.0,1.047,,
0.0,1.047,,
0.0,1.031,,
0.0,1.016,,
0.0,1.016,,
0.0,1.016,,
0.0,1.016,,
0.0,1.031,,
0.0,1.031,,
0.0,1.031,,
0.0001,1.016,,
0.0,1.016,,
0.0,1.016,,
0.0,1.016,,
0.0,1.016,,
0.0,1.031,,
0.0,1.016,,
0.0,1.031,,
0.0,1.031,,
0.0,1.031,,
0.0,1.047,,
0.0,1.063,,
0.0,1.079,,
0.0,1.079,,
0.0,1.095,,
0.0,1.126,,
0.0,1.095,,
0.0,1.079,,
0.0001,1.063,,
0.0,1.047,,
0.0,0.985,,
0.0,1.031,,
0.0,1.031,,
0.0,1.047,,
0.0002,1.126,,
0.0001,1.19,,
0.0,1.158,,
0.0,1.126,,
0.0,1.095,,
0.0,1.063,,
0.0,1.016,,
0.0,1.0,,
0.0,1.0,,
0.0,1.016,,
0.0,1.047,,
0.0,1.063,,
0.0,1.063,,
0.0,1.047,,
0.0,1.063,,
0.0,1.063,,
0.0,1.047,,
0.0,1.031,,
0.0,1.031,,
0.0001,1.031,,
0.0,1.047,,
0.0,1.047,,
0.0,1.031,,
0.0,1.047,,
0.0,1.079,,
0.0,1.11,,
0.0,1.095,,
0.0,1.079,,
0.0,1.079,,
0.0001,1.079,,
0.0,1.095,,
0.0,1.079,,
0.0,1.095,,
0.0,1.095,,
0.0,1.079,,
0.0,1.063,,
0.0,1.063,,
0.0,1.063,,
0.0,1.047,,
0.0,1.031,,
0.0,1.016,,
0.0,1.016,,
0.0,1.0,,
0.0,1.0,,
0.0,1.0,,
0.0,1.016,,
0.0,1.079,,
0.0,1.142,,
0.0,1.11,,
0.0001,1.11,,
0.0,1.126,,
0.0,1.142,,
0.0,1.095,,
0.0,1.095,,
0.0,1.079,,
0.0,1.079,,
0.0,1.0,,
0.0,1.079,,
0.0,1.063,,
0.0,1.016,,
0.0,0.969,,
0.0,0.985,,
0.0,1.288,,
0.0,1.386,,
0.0,1.353,,
0.0,1.223,,
0.0,1.37,,
0.0,1.353,,
0.0,1.142,,
0.0,1.063,,
0.0,1.031,,
0.0,1.095,,
0.0,1.158,,
0.0,1.126,,
0.0,1.11,,
0.0,1.095,,
0.0,1.063,,
0.0,1.016,,
0.0,0.985,,
0.0002,1.0,,
0.0006000000000000001,1.047,,
0.00030000000000000003,1.079,,
0.0,1.095,,
0.0,1.142,,
0.0,1.174,,
0.0,1.19,,
0.0,1.223,,
0.0,1.207,,
0.0,1.19,,
0.0,1.158,,
0.0,1.174,,
0.0,1.174,,
0.0001,1.19,,
0.0,1.207,,
0.0,1.19,,
0.0,1.255,,
0.0,1.32,,
0.0,1.288,,
0.0,1.239,,
0.0,1.223,,
0.0,1.207,,
0.0,1.142,,
0.0,1.079,,
0.0,1.11,,
0.0,1.158,,
0.0,1.174,,
0.0,1.174,,
0.0,1.19,,
0.0,1.19,,
0.0,1.174,,
0.0,1.174,,
0.0,1.142,,
0.0002,1.126,,
0.00030000000000000003,1.126,,
0.0,1.126,,
0.0,1.126,,
0.0,1.047,,
0.0,1.095,,
0.0,1.126,,
0.0001,1.11,,
0.0004,1.126,,
0.00030000000000000003,1.142,,
0.0004,1.126,,
0.0007000000000000001,1.142,,
0.0008,1.19,,
0.0005,1.304,,
0.0002,1.436,,
0.0,1.587,,
0.0,1.655,,
0.0,1.69,,
0.0,1.673,,
0.0,1.673,,
0.0,1.621,,
0.0002,1.604,,
0.0001,1.621,,
0.0,1.707,,
0.0001,1.741,,
0.001,1.776,,
0.0001,1.587,,
0.0,1.673,,
0.0,1.69,,
0.0,1.673,,
0.0001,1.621,,
0.0,1.537,,
0.0,1.453,,
0.0,1.337,,
0.0,1.32,,
0.0,1.403,,
0.0,1.42,,
0.0,1.42,,
0.0,1.453,,
0.0,1.436,,
0.0,1.436,,
0.0,1.42,,
0.0,1.386,,
0.0,1.353,,
0.0,1.32,,
0.0,1.304,,
0.0,1.288,,
0.0,1.255,,
0.0004,1.207,,
0.0008,1.207,,
0.0006,1.207,,
0.0006,1.271,,
0.0008999999999999999,1.337,,
0.0008999999999999999,1.42,,
0.0002,1.52,,
